product_id,product_name,category,subcategory,unit_price,stock_quantity
1,Football Product 001,Sports,Football,309.05,131
2,Decor Product 002,Home,Decor,19784.61,107
3,Fragrance Product 003,Beauty,Fragrance,4826.77,366
4,T-Shirt Product 004,Fashion,T-Shirt,7110.01,419
5,Furniture Product 005,Home,Furniture,18086.09,45
6,Kitchen Product 006,Home,Kitchen,8514.19,404
7,Cycling Product 007,Sports,Cycling,4635.61,456
8,Bedding Product 008,Home,Bedding,2763.21,109
9,Kitchen Product 009,Home,Kitchen,26733.44,173
10,Tablet Product 010,Electronics,Tablet,46405.07,196
11,Outdoor Product 011,Sports,Outdoor,11133.39,495
12,Jacket Product 012,Fashion,Jacket,2947.1,248
13,Fitness Product 013,Sports,Fitness,6497.88,300
14,Headphones Product 014,Electronics,Headphones,34858.1,22
15,Smartphone Product 015,Electronics,Smartphone,27037.12,479
16,Technology Product 016,Books,Technology,1240.5,379
17,Smartwatch Product 017,Electronics,Smartwatch,41583.23,307
18,Bedding Product 018,Home,Bedding,28107.47,357
19,Outdoor Product 019,Sports,Outdoor,3365.11,23
20,Comics Product 020,Books,Comics,580.65,260
21,Fiction Product 021,Books,Fiction,727.97,148
22,Furniture Product 022,Home,Furniture,29648.84,464
23,Jacket Product 023,Fashion,Jacket,5380.88,206
24,Cycling Product 024,Sports,Cycling,11430.81,410
25,Skincare Product 025,Beauty,Skincare,2695.33,268
26,Tablet Product 026,Electronics,Tablet,56093.06,181
27,Smartwatch Product 027,Electronics,Smartwatch,52193.82,47
28,Bedding Product 028,Home,Bedding,4976.19,97
29,Technology Product 029,Books,Technology,1126.75,48
30,Furniture Product 030,Home,Furniture,23124.95,346
31,Shoes Product 031,Fashion,Shoes,7500.95,394
32,Shoes Product 032,Fashion,Shoes,5563.34,240
33,Jacket Product 033,Fashion,Jacket,4963.0,322
34,Cricket Product 034,Sports,Cricket,6016.67,125
35,Kitchen Product 035,Home,Kitchen,13294.83,444
36,Fitness Product 036,Sports,Fitness,9396.66,178
37,Laptop Product 037,Electronics,Laptop,16932.2,86
38,Fiction Product 038,Books,Fiction,2438.66,19
39,Furniture Product 039,Home,Furniture,25526.93,246
40,Fragrance Product 040,Beauty,Fragrance,2090.32,266
41,T-Shirt Product 041,Fashion,T-Shirt,4360.17,234
42,Technology Product 042,Books,Technology,1050.19,278
43,Kitchen Product 043,Home,Kitchen,16482.05,95
44,Jeans Product 044,Fashion,Jeans,4408.77,462
45,Makeup Product 045,Beauty,Makeup,2560.89,152
46,Makeup Product 046,Beauty,Makeup,1075.79,253
47,Appliance Product 047,Home,Appliance,3006.6,319
48,Education Product 048,Books,Education,1050.32,360
49,Jeans Product 049,Fashion,Jeans,2372.32,335
50,Smartphone Product 050,Electronics,Smartphone,12152.7,221
51,Haircare Product 051,Beauty,Haircare,3311.31,35
52,Haircare Product 052,Beauty,Haircare,2413.75,124
53,Comics Product 053,Books,Comics,328.56,424
54,Jacket Product 054,Fashion,Jacket,3017.65,176
55,Skincare Product 055,Beauty,Skincare,3119.28,102
56,Technology Product 056,Books,Technology,1831.05,31
57,Business Product 057,Books,Business,1664.71,351
58,Fragrance Product 058,Beauty,Fragrance,3255.82,245
59,Laptop Product 059,Electronics,Laptop,25615.37,350
60,Smartwatch Product 060,Electronics,Smartwatch,38860.34,463
61,Dress Product 061,Fashion,Dress,3726.63,162
62,Fiction Product 062,Books,Fiction,385.07,203
63,Smartwatch Product 063,Electronics,Smartwatch,23080.16,305
64,Dress Product 064,Fashion,Dress,5281.37,95
65,Kitchen Product 065,Home,Kitchen,21959.36,20
66,Skincare Product 066,Beauty,Skincare,4204.22,45
67,Kitchen Product 067,Home,Kitchen,18767.35,225
68,Makeup Product 068,Beauty,Makeup,3680.19,159
69,Kitchen Product 069,Home,Kitchen,23193.07,183
70,Comics Product 070,Books,Comics,2491.61,165
71,Skincare Product 071,Beauty,Skincare,4556.8,34
72,T-Shirt Product 072,Fashion,T-Shirt,4148.6,260
73,Haircare Product 073,Beauty,Haircare,2450.92,58
74,Cycling Product 074,Sports,Cycling,7241.27,223
75,Smartphone Product 075,Electronics,Smartphone,72689.52,267
76,Business Product 076,Books,Business,1202.91,204
77,Comics Product 077,Books,Comics,1568.22,282
78,Comics Product 078,Books,Comics,2305.12,330
79,Comics Product 079,Books,Comics,1836.83,497
80,Fragrance Product 080,Beauty,Fragrance,4440.36,419
81,Football Product 081,Sports,Football,11328.45,343
82,Headphones Product 082,Electronics,Headphones,16836.84,229
83,Smartphone Product 083,Electronics,Smartphone,54575.66,376
84,Shoes Product 084,Fashion,Shoes,4924.84,84
85,Outdoor Product 085,Sports,Outdoor,2785.07,405
86,Technology Product 086,Books,Technology,1823.21,273
87,Jeans Product 087,Fashion,Jeans,1767.23,84
88,Bedding Product 088,Home,Bedding,2398.33,270
89,Grooming Product 089,Beauty,Grooming,3476.46,253
90,Cricket Product 090,Sports,Cricket,12971.56,398
91,Fiction Product 091,Books,Fiction,952.87,72
92,Fragrance Product 092,Beauty,Fragrance,1199.49,73
93,Furniture Product 093,Home,Furniture,2525.17,95
94,Grooming Product 094,Beauty,Grooming,4986.96,271
95,Furniture Product 095,Home,Furniture,10524.46,124
96,Decor Product 096,Home,Decor,18704.42,411
97,Grooming Product 097,Beauty,Grooming,1127.53,18
98,Football Product 098,Sports,Football,7242.33,421
99,Fitness Product 099,Sports,Fitness,2129.54,344
100,Skincare Product 100,Beauty,Skincare,4404.3,124
